gene_id,baseMean,LFC_shrunk,lfcSE,stat,pvalue,padj,LFC_raw,ortholog_ensg,name,description
ENSDARG00000009657,746.4663724798804,-0.1246591516492466,0.0779589625208149,-1.7699127786450597,0.0767416717364471,0.2154559878480662,-0.1496538873493477,ENSG00000111790,FGFR1OP2,FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]
ENSDARG00000096156,2.1116726993193016,0.0299883579409456,0.1338633042020783,0.7760320391317632,0.4377300687668407,,0.5505281401224262,ENSG00000177675,CD163L1,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]
ENSDARG00000076160,1.96224860733824,-0.0106276941053772,0.1353320104263324,-0.3468588568283706,0.7286973573957943,,-0.3078018068040006,ENSG00000165671,NSD1,nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]
ENSDARG00000117163,27.504463092889694,-0.1518854718286947,0.177562754322066,-1.5535618601751713,0.1202889628375697,0.2879791588052911,-0.3948045340224045,N/A,N/A,N/A
ENSDARG00000076014,62.28631122969329,0.1472004784002767,0.1506075175452947,1.483578629941113,0.137920742190339,0.3136665041559156,0.2907265329042929,ENSG00000082805,ERC1,ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]
ENSDARG00000098876,15.556741411692755,0.2437450154472468,0.3670442423435189,2.161707471403805,0.0306407313846987,0.1183354407375279,0.7653541614621056,N/A,N/A,N/A
ENSDARG00000103471,31.848680746519925,0.0386183349598003,0.1297382009633406,0.5654330011012272,0.5717792833030035,0.7518139108674783,0.1969505013319106,N/A,N/A,N/A
ENSDARG00000093665,6.844015543707411,0.0001490904380906,0.1309554554630557,0.0009694692813484,0.9992264755494082,0.9998635283024851,0.000504911605399,N/A,N/A,N/A
ENSDARG00000098144,0.9610826619953932,-0.0072165460570905,0.1371978344678576,-0.3067933918374814,0.7590006384218541,,-0.3760554723849499,ENSG00000146757; ENSG00000197020; ENSG00000197134; ENSG00000188171; ENSG00000183850; ENSG00000178150; ENSG00000196705; ENSG00000197372; ENSG00000173041; ENSG00000237440; ENSG00000256771; ENSG00000197360; ENSG00000268696; ENSG00000198039; ENSG00000185177; ENSG00000160229; ENSG00000118620,ZNF626; ZNF273; ZNF723; ZNF675; ZNF257; ZNF431; ZNF92; ZNF730; ZNF430; ZNF114; ZNF98; ZNF66; ZNF479; ZNF737; ZNF253; ZNF680; ZNF100,zinc finger protein 98 [Source:HGNC Symbol;Acc:HGNC:13174]; zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]; zinc finger protein 723 [Source:HGNC Symbol;Acc:HGNC:32286]; zinc finger protein 92 [Source:HGNC Symbol;Acc:HGNC:13168]; zinc finger protein 253 [Source:HGNC Symbol;Acc:HGNC:13497]; zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]; zinc finger protein 257 [Source:HGNC Symbol;Acc:HGNC:13498]; zinc finger protein 479 [Source:HGNC Symbol;Acc:HGNC:23258]; zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]; zinc finger protein 431 [Source:HGNC Symbol;Acc:HGNC:20809]; zinc finger protein 626 [Source:HGNC Symbol;Acc:HGNC:30461]; zinc finger protein 680 [Source:HGNC Symbol;Acc:HGNC:26897]; zinc finger protein 675 [Source:HGNC Symbol;Acc:HGNC:30768]; zinc finger protein 737 [Source:HGNC Symbol;Acc:HGNC:32468]; zinc finger protein 114 [Source:HGNC Symbol;Acc:HGNC:12894]; zinc finger protein 273 [Source:HGNC Symbol;Acc:HGNC:13067]; zinc finger protein 730 [Source:HGNC Symbol;Acc:HGNC:32470]
ENSDARG00000093658,684.8700636684713,0.1230812460150314,0.1091007479234983,1.3889956613474814,0.1648340693662285,0.3522365457052647,0.1810046394675701,ENSG00000064115,TM7SF3,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]
ENSDARG00000095324,9.902169952701271,-0.1099482221644872,0.1706895261018719,-1.5621432826201358,0.1182542384078028,0.2847229148651405,-0.6455099055099398,ENSG00000130035,GALNT8,polypeptide N-acetylgalactosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4130]
ENSDARG00000098510,5.366057407474873,-0.0019168528814088,0.1308573357865005,-0.0400455487547895,0.9680568127417134,0.9863491536492368,-0.0204369815649732,N/A,N/A,N/A
ENSDARG00000021336,4.76781840641466,0.0375267283053251,0.1341264554580898,0.7554352279946162,0.4499878826466605,,0.4007597288456225,N/A,N/A,N/A
ENSDARG00000094646,1831.1279860001812,-0.0806828508941695,0.0577396681717287,-1.4577284448829084,0.1449154082586543,0.324139994938967,-0.0904379172690666,ENSG00000127334,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]
ENSDARG00000021595,1818.8269618931968,-0.2914753077173312,0.1032262217607638,-3.282358040680637,0.001029428042586,0.0111531823129978,-0.3331202514324168,ENSG00000187416,LHFPL3,LHFPL tetraspan subfamily member 3 [Source:HGNC Symbol;Acc:HGNC:6589]
ENSDARG00000096153,2.306452867989206,-0.0046615771171451,0.1346680876891785,-0.1433505241769284,0.886013355304587,,-0.1217274427185725,ENSG00000177675,CD163L1,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]
ENSDARG00000095200,82.5033801012144,0.1881294648210631,0.2021830097223768,1.7771851397640916,0.075537783597995,0.2133965119037353,0.4345117568775454,N/A,N/A,N/A
ENSDARG00000102062,33.143829782681614,0.0576718225122279,0.1317798795388715,0.7669372623921694,0.4431188176136433,0.6481468136218898,0.2287576058666719,N/A,N/A,N/A
ENSDARG00000090116,47.20186443928264,-0.0580244717206203,0.1267930719835851,-0.7029112637395873,0.4821110511913965,0.6813811569325348,-0.1701672840358115,N/A,N/A,N/A
