gene_id,baseMean,LFC_shrunk,lfcSE_shrunk,stat,pvalue,padj,LFC_raw,lfcSE_raw,ortholog_ensg,name,description
ENSDARG00000009657,744.3436550504236,0.0828180327310731,0.0820997139545286,-0.8203898887213917,0.4119938777807675,0.616051996878316,-0.0747016218251079,0.0910562439299845,ENSG00000111790,FGFR1OP2,FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]
ENSDARG00000096156,2.0184086800535024,-0.0366555568098079,0.1346398105037,-0.917720974501978,0.3587649638959678,,-0.883924313417509,0.9631732715896466,ENSG00000177675,CD163L1,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]
ENSDARG00000076160,1.9256522895542452,0.0500252233407721,0.129142556571891,-1.1574716041311637,0.2470797342051218,,-1.2120132787282203,1.0471213932181065,ENSG00000165671,NSD1,nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]
ENSDARG00000117163,26.065886237124623,0.3843552772130226,0.5630632166398731,-0.0341961021866469,0.9727207747293128,0.9868175368199292,-0.0100466234184064,0.293794402752999,N/A,N/A,N/A
ENSDARG00000076014,56.9275225333512,0.2971832316124251,0.2367539420525707,1.818847386140967,0.0689347166738569,0.1989892913707212,0.4008818100538608,0.2204043138024946,ENSG00000082805,ERC1,ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]
ENSDARG00000098876,14.380109208204855,-0.0630986387199909,0.1313145077292901,1.190676102390672,0.2337807629800997,0.4386655086218475,0.496191881680375,0.4167312006045198,N/A,N/A,N/A
ENSDARG00000103471,29.396609402936484,-0.0139366614706944,0.122008627349597,0.9416885583190316,0.3463521146321585,0.5563908403604585,0.3478519519339873,0.3693917154042129,N/A,N/A,N/A
ENSDARG00000093665,6.420151339255053,-0.0235459679740407,0.1266058061356961,0.7617842449944854,0.4461887850424636,0.6463782478128459,0.4317885956877202,0.5668121893106964,N/A,N/A,N/A
ENSDARG00000098144,0.8320510683810672,0.0229662903196928,0.1349323818239197,0.6133123396114458,0.539669835781093,,0.8462298189108969,1.37976975882633,N/A,N/A,N/A
ENSDARG00000093658,650.8650189410178,0.0389612937584119,0.0947702137358777,2.503471341302944,0.012298163992474,0.0625485093124061,0.3151040325656376,0.1258668423188899,ENSG00000064115,TM7SF3,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]
ENSDARG00000095324,9.017026562744611,0.1386485439305802,0.1569020131570616,1.7028571871322815,0.0885947977189325,0.2360589938982798,0.7302176599571628,0.4288190844629168,ENSG00000130035,GALNT8,polypeptide N-acetylgalactosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4130]
ENSDARG00000098510,5.069394298937859,0.0120005347602844,0.1250000961323578,0.4083021602652539,0.6830518535032474,,0.2376461308353576,0.5820349583283384,N/A,N/A,N/A
ENSDARG00000021336,4.378086235524375,-0.0258394113619895,0.1294827639517302,-1.2329429702356272,0.2175970421493692,,-0.920190804850038,0.7463368761283263,N/A,N/A,N/A
ENSDARG00000094646,1837.070387046726,-0.1316214370232199,0.0994764829971222,-0.4659824107499036,0.6412280908036235,0.7890974024755913,-0.0529152710385572,0.1135563699784309,ENSG00000127334,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]
ENSDARG00000021595,1894.7199303324269,-0.3759720385905929,0.1225720797437353,-3.007230728442305,0.002636395765557,0.0211242747903315,-0.3256641384402859,0.108293698704314,ENSG00000187416,LHFPL3,LHFPL tetraspan subfamily member 3 [Source:HGNC Symbol;Acc:HGNC:6589]
ENSDARG00000096153,2.466560186381441,0.0266906753778212,0.1271119674939392,1.179893236241314,0.2380426803333674,,1.0876313831052573,0.9218049139513949,ENSG00000177675,CD163L1,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]
ENSDARG00000095200,75.99460840298315,1.4827670413269085,0.3505501578466057,4.345408726444893,1.3901656816284873e-05,0.0004710742008565,1.1725123339311416,0.2698278591828596,N/A,N/A,N/A
ENSDARG00000102062,33.413613030766314,-0.0871604797580072,0.1344296169652508,0.8551324071970903,0.3924778506126651,0.599436002087872,0.2765329339351242,0.3233802527044085,N/A,N/A,N/A
ENSDARG00000090116,47.08757670533016,0.1779803679716021,0.170158804738421,-0.5240799769410667,0.6002229145679427,0.7622165428044771,-0.1427903982031365,0.272459175098753,N/A,N/A,N/A
ENSDARG00000102464,236.48077459777195,0.6840777146278187,0.3393279854851824,3.9069736254847567,9.345935058534052e-05,0.0019396289571758,0.8836363233414687,0.226169001392179,ENSG00000111186,WNT5B,Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]
ENSDARG00000095149,2.4322871028466024,-0.0200008659212642,0.134879516724808,-0.3598938717807767,0.7189265000133964,,-0.4621445672089672,1.2841134663456415,N/A,N/A,N/A
ENSDARG00000092714,7.3253720449243165,0.1488444187020669,0.1666885834720208,0.6173878735156575,0.5369789185918072,0.7167529127957949,0.3707323826920954,0.6004853651902726,N/A,N/A,N/A
ENSDARG00000112103,4.425005104316494,0.0192827419049034,0.1257068936922746,0.4312515357433412,0.6662854852130409,,0.363415455859619,0.8426995053668753,N/A,N/A,N/A
ENSDARG00000096462,0.5109395147104119,0.0055445074258548,0.1414969735496049,0.7899807157247126,0.4295390305755999,,1.8932751649135595,2.396609344035324,N/A,N/A,N/A
ENSDARG00000045801,743.6329743777982,-0.2282145197284677,0.0900103478328956,-2.77936579913658,0.0054465153369023,0.0351221952076819,-0.2394996841649887,0.0861706236147074,ENSG00000171823,FBXL14,F-box and leucine rich repeat protein 14 [Source:HGNC Symbol;Acc:HGNC:28624]
ENSDARG00000096855,3.553451276502404,0.0569008968431914,0.139499077420943,2.84244689887568,0.0044768688190824,,2.678900282432786,0.942462736416436,N/A,N/A,N/A
ENSDARG00000104074,1.5884404631225175,0.047847406061162,0.1408808879128232,-0.1915483592554014,0.8480959966651922,,-0.2729630854701752,1.4250348399289563,N/A,N/A,N/A
ENSDARG00000015623,22.64877881759908,-0.0624035571281501,0.1236434090891349,0.4835305589673187,0.6287190671227689,0.7816460019996967,0.1309059695138659,0.2707294649451798,ENSG00000093072,ADA2,adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]
ENSDARG00000102559,2.952197327536404,-0.0334793424042561,0.1324239612417798,0.4272237719893996,0.6692163482642228,,0.3731007856790327,0.8733146658521853,N/A,N/A,N/A
ENSDARG00000030694,3584.8495894250746,-0.3052605961712022,0.0830392836056032,-2.897968910561137,0.0037558781883255,0.0269946945038615,-0.2199619792678395,0.0759021183651166,ENSG00000250565; ENSG00000131100,ATP6V1E2; ATP6V1E1,ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125]; ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]
ENSDARG00000093168,1.7498083426745643,-0.0436913117273654,0.1369803351560338,-0.329490506018895,0.741784968808797,,-0.3304416917017214,1.0028868379071652,N/A,N/A,N/A
ENSDARG00000093983,10.41716605988432,0.0307559828185293,0.1257517163918181,0.0860140116619943,0.9314552788113448,0.9644901158639192,0.0393158590293705,0.4570866800617136,N/A,N/A,N/A
ENSDARG00000030598,785.7051895179204,-0.087541962272058,0.0756173989912699,0.6100568707050643,0.5418241353947004,0.720635781268556,0.0494673676822527,0.0810864856338418,ENSG00000105835,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
ENSDARG00000113342,0.6401936229946136,0.0181651128629415,0.1349099925497376,1.5153303213612914,0.1296887733121229,,3.4922601829298965,2.3046197477211683,N/A,N/A,N/A
ENSDARG00000097811,0.6130529895406154,0.0225957870038849,0.1245189183166654,0.5632210686655164,0.5732843580248357,,0.8366740676630057,1.4855162816359175,N/A,N/A,N/A
ENSDARG00000116640,0.8493369433855614,-0.0105770439110448,0.1336933755526312,-0.056708258912904,0.9547775949437706,,-0.0869634141128734,1.5335229079495645,N/A,N/A,N/A
ENSDARG00000113663,0.5864957788774557,0.0076587732659163,0.1403708785579873,-0.5137474545428812,0.6074285693902728,,-1.049458643105284,2.0427520055336617,N/A,N/A,N/A
ENSDARG00000101775,6.500516512852943,0.022244741115631,0.1384458067124239,0.3948395545441013,0.6929613013708857,0.82491171282655,0.3519103852910356,0.8912743954879759,N/A,N/A,N/A
ENSDARG00000112642,0.8587390283989677,0.0125040790298647,0.1394435150497679,0.265048822668417,0.7909718512722801,,0.3837207788210958,1.447736213117009,N/A,N/A,N/A
ENSDARG00000090160,89.82411410683234,0.3854760559326781,0.2570967720186206,2.100799499594213,0.0356585704058352,0.1292681064501146,0.4147886551530642,0.1974432377926518,N/A,N/A,N/A
ENSDARG00000045758,167.8799271013172,-0.029715288164918,0.118064453895683,-0.4442291808139937,0.6568768968177825,0.799821045956265,-0.1160036924548308,0.261134786873453,ENSG00000130038,CRACR2A,calcium release activated channel regulator 2A [Source:HGNC Symbol;Acc:HGNC:28657]
ENSDARG00000096491,0.9311670137554232,0.0194219702143738,0.1219660305836635,0.2716953262146901,0.785856295300044,,0.5417297856232114,1.9938870247445608,N/A,N/A,N/A
ENSDARG00000045760,317.51522974621724,-0.3352089023280089,0.1342704271496815,-1.65589064129465,0.0977439672054595,0.2523281004585095,-0.2003355763228612,0.1209835790642731,ENSG00000111218,PRMT8,protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188]
ENSDARG00000031346,644.1442372306242,-0.0245927853782157,0.0777639521107778,0.5980188251030242,0.5498273721380134,0.7259619846989875,0.0529595944880732,0.0885584069681245,ENSG00000134453,RBM17,RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]
ENSDARG00000096461,2.9706737432166737,-0.0233814148322174,0.1301400789370763,-0.2039350969316681,0.8384042179900077,,-0.1850211849124024,0.9072552380446656,N/A,N/A,N/A
