name,ortholog_ensg,stat,baseMean,pvalue,padj,LFC_raw,lfcSE_raw,LFC_shrunk,lfcSE_shrunk,description,drerio_genes
TSPAN6,ENSG00000000003,2.461033285509408,1125.5110309629445,0.01385375125985,0.0682947115328306,0.2416448850326566,0.0981883855271135,0.2018462316653669,0.0958799583897845,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],ENSDARG00000015759
TNMD,ENSG00000000005,1.5833486940705073,1076.4916197817,0.113342010003383,0.2771491620151884,0.2193650152417465,0.13854498131918,0.1471439493648454,0.1198269902005203,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],ENSDARG00000052615
DPM1,ENSG00000000419,-0.6165044921171761,335.38112540269793,0.5375616080444664,0.7256456897766603,-0.0703250604049378,0.1140706374473123,-0.048815108755317,0.0893096710921189,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",ENSDARG00000057011
SCYL3,ENSG00000000457,-0.2531131231207627,437.4764709988447,0.8001807982205844,0.9006665650339928,-0.0210062858986081,0.0829916901961099,-0.0168849207678198,0.0708483788469283,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],ENSDARG00000027046
FIRRM,ENSG00000000460,-2.534262488079835,150.49240319888838,0.0112684287703922,0.0590458367337051,-0.4732579249059747,0.1867438464373727,-0.3357255415604794,0.20883168341977,FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565],ENSDARG00000042120
FGR,ENSG00000000938,3.09640187745382,288.7267890665028,0.0019588468055884,0.0173764213106785,0.3712777766136199,0.1199061980026063,0.3134231883612525,0.1248348030169745,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",ENSDARG00000004378
FUCA2,ENSG00000001036,2.8863700406388717,1770.7754295621344,0.0038971365751252,0.0286460409012856,0.3483474717360583,0.1206870452615129,0.2872558437850902,0.1249768489554829,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],ENSDARG00000044073
GCLC,ENSG00000001084,1.7412369763214524,1085.4862818588863,0.081642048271948,0.2245503360717522,0.1274542894338162,0.0731975550525448,0.110288916092628,0.0681281077384278,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],ENSDARG00000013095
NFYA,ENSG00000001167,-1.575617246995187,1372.147742928343,0.1151140389555327,0.2800803223276696,-0.1731281925048436,0.1098795997790779,-0.131277627498125,0.0974835299168695,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],ENSDARG00000042004; ENSDARG00000001621
STPG1,ENSG00000001460,1.228073901057308,4.500652120475199,0.2194192273401558,,0.8710708007829177,0.7092983573976865,0.0483501552962626,0.1360753426007674,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],ENSDARG00000103765
NIPAL3,ENSG00000001461,2.038915306061013,602.7662501516796,0.0414584810351767,0.144765525150536,0.2639390403053341,0.1294507130927565,0.1945194317111889,0.123046767883866,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],ENSDARG00000021147
LAS1L,ENSG00000001497,-0.9983047276286544,580.2836012416411,0.3181316158418642,0.5306958385364392,-0.0719453694824303,0.0720675435979627,-0.0613760148803332,0.0649238316498067,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],ENSDARG00000062457
ENPP4,ENSG00000001561,3.108340818049446,52.00406903960104,0.0018814096636568,0.0168146348274807,0.7961448489255035,0.2561317743223223,0.6100654448199582,0.3206137361574839,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],ENSDARG00000006877
SEMA3F,ENSG00000001617,-2.158258949352425,904.4112394941462,0.0309077044452362,0.1189408296637664,-0.148399686111274,0.0687589810091141,-0.1311101252009258,0.0652339700707642,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],ENSDARG00000011163; ENSDARG00000055373
CFTR,ENSG00000001626,-0.6098785162815922,113.718984345419,0.5419422849295487,0.7288297687800644,-0.1319602517895897,0.2163713727680501,-0.0502813648906752,0.1205476481569013,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],ENSDARG00000041107
ANKIB1,ENSG00000001629,1.4457330024872603,847.3739844980969,0.1482521039976284,0.3287121009628247,0.1171591392671141,0.0810378811755364,0.0985390124734179,0.0734326365972182,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],ENSDARG00000076829
CYP51A1,ENSG00000001630,1.7292350517751585,2113.342774247674,0.0837670353488793,0.2281114245372327,0.3509029724466335,0.2029238142532512,0.1805270954178434,0.1735836586300281,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],ENSDARG00000042641
KRIT1,ENSG00000001631,0.2301639246952512,316.3397351447689,0.8179643932579022,0.9106498679634112,0.0220445062437412,0.0957774172165741,0.017169262603007,0.0784620144279306,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],ENSDARG00000098916
RAD52,ENSG00000002016,-3.772024245861167,101.4627810150862,0.0001619285166576,0.0029314109646257,-0.4806018768299207,0.1274121918376475,-0.4220518968382624,0.1350099272781119,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",ENSDARG00000005274
LAP3,ENSG00000002549,-0.6943652388537646,346.04920322689253,0.4874531875263305,0.6854611821116924,-0.0712151575540063,0.102561524640211,-0.0523952954812435,0.0837526217659822,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],ENSDARG00000061981
CD99,ENSG00000002586,3.689332970472518,1149.86992323784,0.000224842788684,0.0037059786283316,0.4624286494639079,0.1253420748858787,0.4049851546989019,0.1331767771536716,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],ENSDARG00000051975
AOC1,ENSG00000002726,1.7332226280669512,1925.650347279336,0.0830561066072108,0.2269038275330457,0.6006412627004797,0.3465459387466974,0.141486554211989,0.1897908254359417,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80],ENSDARG00000061355
WNT16,ENSG00000002745,-0.7936628360677557,68.70386116687882,0.427391741093746,0.6347057260226259,-0.1398268129371876,0.1761791110567391,-0.070050629640735,0.1160011970143474,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],ENSDARG00000094973
HECW1,ENSG00000002746,-1.52434283319235,390.0884147624199,0.1274230925180998,0.2980223873032538,-0.1435630783191641,0.0941803085192506,-0.1150064713338435,0.0843012993444191,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]",ENSDARG00000100958; ENSDARG00000004291
MAD1L1,ENSG00000002822,1.7992014504583025,294.89433274577004,0.0719868201024085,0.2073890745273178,0.1827183650312784,0.1015552566305098,0.1439817895427096,0.0929873318687101,mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762],ENSDARG00000033852
LASP1,ENSG00000002834,2.2267618750695304,4692.652625331881,0.0259631926538348,0.1052267915921057,0.1423571404079275,0.0639301139478519,0.1285078213754378,0.0611178528618979,LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513],ENSDARG00000057867
SNX11,ENSG00000002919,0.333181211834035,490.6506692829726,0.7389974994789492,0.8645560683283274,0.0405850726056538,0.1218108079451676,0.0269133875633555,0.0911092886603998,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],ENSDARG00000052522
M6PR,ENSG00000003056,0.9548425170943706,634.1594751766432,0.3396573426773761,0.5532420026740432,0.0800899120469718,0.0838776139657972,0.0652370798834135,0.0732670181207845,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",ENSDARG00000018432
KLHL13,ENSG00000003096,-0.7242365752754512,57.2885237069479,0.4689205075771789,0.6697977127152552,-0.1224248415755578,0.169039849346183,-0.0629206619133245,0.1124414442877822,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],ENSDARG00000103786; ENSDARG00000086463
