name,ortholog_ensg,description,stat,baseMean,LFC_raw,LFC_shrunk,pvalue,padj,mouse_ids
DPM1,ENSG00000000419,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",-2.0385252591143304,566.4030379463372,-0.1072777360754759,-0.0694146204143163,0.0414974313003382,0.2442539377307163,FBgn0032799
SCYL3,ENSG00000000457,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],-0.3720065249754088,721.6623574312423,-0.0189597971690602,-0.0096865790465022,0.7098879912246804,0.9066753554791076,FBgn0027507
GCLC,ENSG00000001084,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],6.376325515313031,2877.268460682944,0.2095156981687048,0.199926036744794,1.8138718664392355e-10,4.453055432108323e-08,FBgn0040319
NFYA,ENSG00000001167,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],0.3781124317429573,354.5909699384999,0.0217453786718858,0.0098492461888255,0.7053470735096188,0.9051981906754548,FBgn0035993
NIPAL3,ENSG00000001461,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],-2.528725699389128,877.2387727706284,-0.1099015131077123,-0.0842772639093292,0.0114477456172774,0.1115375906543455,FBgn0032451
LAS1L,ENSG00000001497,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],1.830487892558068,240.00367485619847,0.1291731990644358,0.0621489242105062,0.0671770155954751,0.3194327400446736,FBgn0052075
CFTR,ENSG00000001626,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],5.035363197663086,6359.710697912748,0.1460067395583261,0.1372700277478927,4.769436480111802e-07,4.064269384002709e-05,FBgn0032456; FBgn0039644; FBgn0263316; FBgn0051792; FBgn0032026; FBgn0034612; FBgn0010549; FBgn0032908; FBgn0039645; FBgn0038740
BAD,ENSG00000002330,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],0.3832434354435833,4.710931320790754,0.1606889473883307,0.0024295278937437,0.7015392751719465,,FBgn0039752
LAP3,ENSG00000002549,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],1.4086649898088963,1.9192150149127063,1.141632109259134,0.0048383111395143,0.1589342518494347,0.9495394003844364,FBgn0033868; FBgn0259795; FBgn0034132; FBgn0033860; FBgn0052351; FBgn0052064; FBgn0035915; FBgn0045770
WNT16,ENSG00000002745,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],0.2984972175984043,161.61273343207634,0.026154888797628,0.0067663199560018,0.7653236994165629,0.9268350493241854,FBgn0010453
SNX11,ENSG00000002919,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],-0.5388973156826998,1170.4871098774884,-0.0198161990825984,-0.0132744565077944,0.5899577095322222,0.8549214268447667,FBgn0031534; FBgn0032005
DBNDD1,ENSG00000003249,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455],0.4932874344547905,151.87028688418343,0.0378853666831441,0.0119998959044811,0.6218095056872567,0.8666378999757727,FBgn0036819
ALS2,ENSG00000003393,alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443],-1.4498066236192046,136.2706380715333,-0.1248249802401604,-0.0398025700912537,0.1471124519364824,0.4824642118316253,FBgn0031344; FBgn0000247; FBgn0002638
CASP10,ENSG00000003400,caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500],2.817569463421511,512.8864537306853,0.1356385479884449,0.1060785327177279,0.0048388646469143,0.0623669167179174,FBgn0020381
CFLAR,ENSG00000003402,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876],-0.5813414316940811,237.0700147523908,-0.0403409489283808,-0.0147484855549492,0.5610103621566653,0.8361633194850212,FBgn0026404; FBgn0028381
TFPI,ENSG00000003436,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760],-0.575414891893214,951.7600563975016,-0.0274874199490343,-0.0150769052637195,0.5650107349682447,0.8385290159048469,FBgn0035833
NDUFAF7,ENSG00000003509,NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816],-0.2945333480286602,179.59853095183547,-0.0215114328630079,-0.0072203598634155,0.7683503848548288,0.9280539076595892,FBgn0037880
RBM5,ENSG00000003756,RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902],1.5739204382948804,2317.245141459631,0.0747905779932078,0.0469578290738534,0.1155058442042045,0.4251984147053028,FBgn0031318; FBgn0031319
MTMR7,ENSG00000003987,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454],-1.8809246116336304,3775.952396720423,-0.0711126385771027,-0.0526059600754391,0.0599821747309628,0.2989333490705252,FBgn0028497; FBgn0030582; FBgn0025802; FBgn0030735; FBgn0025742; FBgn0035945
SLC7A2,ENSG00000003989,solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060],-2.9177892159491003,232.63182412288307,-0.2421107639388651,-0.1748203905469073,0.0035252256132958,0.0500801144316781,FBgn0036764; FBgn0030574; FBgn0036984; FBgn0037203; FBgn0036493; FBgn0002778; FBgn0039844
ARF5,ENSG00000004059,ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658],-1.3824454357941642,1874.0108764100544,-0.0763857484326945,-0.0407616419941356,0.1668349733248598,0.5141423118870306,FBgn0013749
SARM1,ENSG00000004139,sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074],-1.6520547802634242,13632.591963216622,-0.0894093240022634,-0.049321780117259,0.0985233840892737,0.3907210051325007,FBgn0262579
POLDIP2,ENSG00000004142,DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781],0.8080572742452444,786.5416387228587,0.0335545492646924,0.0210586889533366,0.4190576119277857,0.7590774107508469,FBgn0037329
PLXND1,ENSG00000004399,plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107],-1.1674524619501954,5910.433669963599,-0.0556313336244435,-0.0332378036798306,0.2430276954253238,0.6129560762650371,FBgn0025741; FBgn0025740
AK2,ENSG00000004455,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362],-0.8243912056464545,0.5702077471893121,-1.0657754505943375,-0.001871041253748,0.4097173101955103,,FBgn0283494
KDM1A,ENSG00000004487,lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079],0.7052458650711869,308.90292001049136,0.0412491640543993,0.0187705661744418,0.4806572431330309,0.7944446804070717,FBgn0260397
RBM6,ENSG00000004534,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903],1.5739204382948804,2317.245141459631,0.0747905779932078,0.0469578290738534,0.1155058442042045,0.4251984147053028,FBgn0031318; FBgn0031319
CAMKK1,ENSG00000004660,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],-0.2183540468330586,4322.873511603531,-0.0103598988756877,-0.005603116894502,0.8271532669434851,0.9495394003844364,FBgn0040056
VPS50,ENSG00000004766,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956],-0.4962728108615998,779.1017815507342,-0.0212742816512669,-0.0127427731907808,0.6197019464457416,0.8662790295516964,FBgn0034271
