gene_id,baseMean,LFC_shrunk,lfcSE_shrunk,stat,pvalue,padj,LFC_raw,ortholog_ensg,name,description
FBgn0038542,223.117927303638,0.0324743495692258,0.0716145304007153,1.1780576448436342,0.2387736260175412,0.6085009535014503,0.0843660450204495,N/A,N/A,N/A
FBgn0039592,2.516123797609506,0.0030351913184912,0.5585177107295093,0.6236097331615698,0.5328839169696398,,0.3482970805540401,ENSG00000157036,EXOG,exo/endonuclease G [Source:HGNC Symbol;Acc:HGNC:3347]
FBgn0038067,0.0910483881157093,0.0003691129432557,3.035117618625715,0.0977256031704401,0.9221501844742676,,0.2966086999734278,ENSG00000173239; ENSG00000204022; ENSG00000182333; ENSG00000204021; ENSG00000107798; ENSG00000204020,LIPN; LIPA; LIPK; LIPM; LIPF; LIPJ,"lipase family member M [Source:HGNC Symbol;Acc:HGNC:23455]; lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]; lipase family member J [Source:HGNC Symbol;Acc:HGNC:21773]; lipase family member K [Source:HGNC Symbol;Acc:HGNC:23444]; lipase F, gastric type [Source:HGNC Symbol;Acc:HGNC:6622]; lipase family member N [Source:HGNC Symbol;Acc:HGNC:23452]"
FBgn0039602,469.0858912574341,-0.0125691393130351,0.0477445659639556,-0.476103163623113,0.634000883269229,0.8723992681038747,-0.0227313389012517,N/A,N/A,N/A
FBgn0264897,12.204100045643049,0.0031946403485563,0.2514051560655271,0.3106696604853417,0.7560517641181423,0.9243512295800286,0.0781039544791416,N/A,N/A,N/A
FBgn0038565,7.932586055536308,-0.0105618802539651,0.3228695742994011,-1.2992995349014598,0.1938411539270933,,-0.4195042877210442,N/A,N/A,N/A
FBgn0039331,1.5899301074802468,0.0040270194151156,0.7786055232291115,1.1183768598120614,0.2634060730627781,,0.8707744001013006,N/A,N/A,N/A
FBgn0065070,3.6201611055326426,-0.004566614266013,0.46255363174934,-0.7995995061120499,0.423942873729246,,-0.3698576554971072,N/A,N/A,N/A
FBgn0019972,453.01876141888,0.026769945140046,0.0477363043875361,0.9833376016230032,0.3254413096269295,0.6934032555987266,0.0469409030667854,ENSG00000165806; ENSG00000164305,CASP7; CASP3,caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]; caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]
FBgn0046873,0.6776109061479315,0.0007498537438983,1.3338248592894322,0.1780891250949842,0.85865298243077,,0.2375397022207953,N/A,N/A,N/A
